202409,202408,202407
34,27,23
1757,1743,1529
4100,3943,3836
8848,8263,8515
18235,16638,15704
31778,32178,28792
37295,39767,36226
43447,44617,42392
45331,44202,43145
48868,47153,46514
60392,54835,53833
75480,66163,65670
88103,81379,80032
97802,95986,97823
128048,135251,142913
83852,81266,79890
75322,74135,73067
75314,73585,71583
69832,68777,67058
28726,29031,27904
1801,1906,2035
6,1,0
0,0,0
0,0,0
1024371,1000846,988484
